2024-12-25 11:36:14,841 INFO [pool-3-thread-3]	begin vote request
2024-12-25 11:36:14,842 INFO [pool-3-thread-4]	begin vote request
2024-12-25 11:36:14,859 INFO [client-work-thread-2]	Got vote from server 1 for term 1
2024-12-25 11:36:14,859 INFO [client-work-thread-2]	voteGrantedNum=2
2024-12-25 11:36:14,859 INFO [client-work-thread-2]	Got majority vote, serverId=2 become leader
2024-12-25 11:36:14,867 INFO [client-work-thread-1]	ignore preVote RPC result
2024-12-25 11:36:14,868 INFO [client-work-thread-1]	ignore requestVote RPC result
2024-12-25 11:36:15,046 INFO [pool-3-thread-6]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:15,119 INFO [pool-3-thread-5]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:15,372 INFO [pool-3-thread-8]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:15,374 INFO [pool-3-thread-7]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:15,896 INFO [pool-3-thread-10]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:15,897 INFO [pool-3-thread-9]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:16,383 INFO [pool-3-thread-12]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:16,384 INFO [pool-3-thread-11]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:16,883 INFO [pool-3-thread-14]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:16,884 INFO [pool-3-thread-13]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:17,388 INFO [pool-3-thread-15]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:17,391 INFO [pool-3-thread-16]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:17,888 INFO [pool-3-thread-17]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:17,894 INFO [pool-3-thread-18]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:18,393 INFO [pool-3-thread-19]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:18,394 INFO [pool-3-thread-20]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:18,892 INFO [pool-3-thread-2]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:18,892 INFO [pool-3-thread-1]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:19,393 INFO [pool-3-thread-4]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:19,394 INFO [pool-3-thread-3]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:19,892 INFO [pool-3-thread-6]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:19,894 INFO [pool-3-thread-5]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:20,398 INFO [pool-3-thread-7]	AppendEntries response[RES_CODE_SUCCESS] from server 3 in term 1 (my term is 1)
2024-12-25 11:36:20,402 INFO [pool-3-thread-8]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
2024-12-25 11:36:20,896 INFO [pool-3-thread-10]	AppendEntries response[RES_CODE_SUCCESS] from server 1 in term 1 (my term is 1)
