2024-12-25 14:28:28,536 INFO [main]	register protocol:1 success
2024-12-25 14:28:28,702 INFO [main]	register protocol:29 success
2024-12-25 14:28:28,716 INFO [main]	register protocol:4 success
2024-12-25 14:28:28,762 INFO [main]	register protocol:3 success
2024-12-25 14:28:28,770 INFO [main]	register protocol:31 success
2024-12-25 14:28:28,770 INFO [main]	register protocol:28 success
2024-12-25 14:28:28,771 INFO [main]	register protocol:32 success
2024-12-25 14:28:28,772 INFO [main]	register protocol:33 success
2024-12-25 14:28:28,772 INFO [main]	register protocol:30 success
2024-12-25 14:28:28,773 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2024-12-25 14:28:28,773 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2024-12-25 14:28:28,773 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2024-12-25 14:28:28,773 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2024-12-25 14:28:28,806 INFO [main]	create thread:server-work-thread-1
2024-12-25 14:28:28,810 INFO [main]	create thread:server-work-thread-2
2024-12-25 14:28:28,813 INFO [main]	create thread:server-work-thread-3
2024-12-25 14:28:28,815 INFO [main]	create thread:server-work-thread-4
2024-12-25 14:28:28,816 INFO [main]	create thread:server-work-thread-5
2024-12-25 14:28:28,818 INFO [main]	create thread:server-work-thread-6
2024-12-25 14:28:28,824 INFO [main]	create thread:server-work-thread-7
2024-12-25 14:28:28,828 INFO [main]	create thread:server-work-thread-8
2024-12-25 14:28:28,828 INFO [main]	create thread:server-work-thread-9
2024-12-25 14:28:28,831 INFO [main]	create thread:server-work-thread-10
2024-12-25 14:28:28,832 INFO [main]	create thread:server-work-thread-11
2024-12-25 14:28:28,833 INFO [main]	create thread:server-work-thread-12
2024-12-25 14:28:28,835 INFO [main]	create thread:server-work-thread-13
2024-12-25 14:28:28,837 INFO [main]	create thread:server-work-thread-14
2024-12-25 14:28:28,839 INFO [main]	create thread:server-work-thread-15
2024-12-25 14:28:28,841 INFO [main]	create thread:server-work-thread-16
2024-12-25 14:28:28,842 INFO [main]	create thread:server-work-thread-17
2024-12-25 14:28:28,845 INFO [main]	create thread:server-work-thread-18
2024-12-25 14:28:28,846 INFO [main]	create thread:server-work-thread-19
2024-12-25 14:28:28,848 INFO [main]	create thread:server-work-thread-20
2024-12-25 14:28:28,884 INFO [main]	use jdk nio event mode
2024-12-25 14:28:28,909 INFO [main]	create thread:timeout-timer-thread-1
2024-12-25 14:28:28,919 WARN [main]	meta file not exist, name=./data/log/metadata
2024-12-25 14:28:28,922 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2024-12-25 14:28:29,266 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=appendEntries
2024-12-25 14:28:29,271 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=preVote
2024-12-25 14:28:29,272 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=requestVote
2024-12-25 14:28:29,276 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=installSnapshot
2024-12-25 14:28:29,279 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=getLeaderCommitIndex
2024-12-25 14:28:29,303 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getConfiguration
2024-12-25 14:28:29,311 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getLeader
2024-12-25 14:28:29,312 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=removePeers
2024-12-25 14:28:29,322 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=addPeers
2024-12-25 14:28:29,335 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=get
2024-12-25 14:28:29,337 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=set
2024-12-25 14:28:29,396 INFO [main]	create thread:server-acceptor-thread-1
